kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
160,10,500,4,320,32,2,1,[160; 10; 500; 4; 320; 32; 2; 1],0.030493442493025213,0.5996605430789519,tvm
80,16,250,5,320,64,4,0,[80; 16; 250; 5; 320; 64; 4; 0],0.027947481983574107,0.654288436305695,tvm
80,40,60,3,128,64,4,0,[80; 40; 60; 3; 128; 64; 4; 0],0.03042240350623615,0.6010608031665211,tvm
80,2,15,5,64,32,2,1,[80; 2; 15; 5; 64; 32; 2; 1],0.027932580007473007,0.6546374978903552,tvm
128,32,1500,12,64,32,2,0,[128; 32; 1500; 12; 64; 32; 2; 0],0.03309898899169639,0.5524553722864968,tvm
80,20,150,6,256,32,2,0,[80; 20; 150; 6; 256; 32; 2; 0],0.03399616151000373,0.5378758504936954,tvm
160,80,10,5,320,32,2,0,[160; 80; 10; 5; 320; 32; 2; 0],0.036472312232945114,0.5013587887964219,tvm
80,16,125,5,320,64,4,0,[80; 16; 125; 5; 320; 64; 4; 0],0.027702135732397437,0.6600831958356655,tvm
160,4,150,6,320,32,2,0,[160; 4; 150; 6; 320; 32; 2; 0],0.02760611876146868,0.6623790342899135,tvm
160,4,750,5,320,32,2,0,[160; 4; 750; 5; 320; 32; 2; 0],0.03807192624663003,0.4802939091460565,tvm
256,256,300,10,256,32,2,1,[256; 256; 300; 10; 256; 32; 2; 1],0.038920882769161835,0.46981756282780407,tvm
160,8,300,10,320,32,2,1,[160; 8; 300; 10; 320; 32; 2; 1],0.027198276744456962,0.6723115018469299,tvm
160,16,500,5,160,32,2,0,[160; 16; 500; 5; 160; 32; 2; 0],0.028008215012960136,0.6528696768877633,tvm
160,80,500,5,160,32,2,0,[160; 80; 500; 5; 160; 32; 2; 0],0.03229730925522745,0.5661683498526947,tvm
160,160,150,6,320,32,2,1,[160; 160; 150; 6; 320; 32; 2; 1],0.033104407746577635,0.552364942629269,tvm
80,4,12,2,128,64,4,0,[80; 4; 12; 2; 128; 64; 4; 0],0.04252560550230555,0.4299930375999682,tvm
160,80,12,12,64,32,2,0,[160; 80; 12; 12; 64; 32; 2; 0],0.032895553013077006,0.555871922215296,tvm
80,4,10,2,64,64,4,0,[80; 4; 10; 2; 64; 64; 4; 0],0.04121727476012893,0.4436420018579872,tvm
128,16,20,4,64,32,2,1,[128; 16; 20; 4; 64; 32; 2; 1],0.02929861648590304,0.6241152818431688,tvm
80,5,25,5,320,80,5,0,[80; 5; 25; 5; 320; 80; 5; 0],0.02525914300349541,0.7239245719137769,tvm
80,80,1500,10,160,32,2,1,[80; 80; 1500; 10; 160; 32; 2; 1],0.03207709701382555,0.570055148002731,tvm
80,40,125,5,320,32,2,1,[80; 40; 125; 5; 320; 32; 2; 1],0.02814698574366048,0.6496508881002564,tvm
160,80,50,10,64,32,2,0,[160; 80; 50; 10; 64; 32; 2; 0],0.032899659738177434,0.5558025350789623,tvm
128,32,750,6,64,64,4,0,[128; 32; 750; 6; 64; 64; 4; 0],0.025973559502745047,0.7040126434646641,tvm
80,4,250,10,256,32,2,1,[80; 4; 250; 10; 256; 32; 2; 1],0.030256949743488804,0.6043475776883066,tvm
80,80,30,6,320,32,2,1,[80; 80; 30; 6; 320; 32; 2; 1],0.033193678507814184,0.5508794176400068,tvm
