kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
64,64,197,1,128,128,8,1,[64; 64; 197; 1; 128; 128; 8; 1],0.0029508324078051373,0.07324616006163091,tvm
32,16,197,1,128,128,8,1,[32; 16; 197; 1; 128; 128; 8; 1],0.0020472341875574784,0.10557519221336008,tvm
6,3,197,1,128,128,8,0,[6; 3; 197; 1; 128; 128; 8; 0],0.00283514706279675,0.07623489648679208,tvm
16,4,197,1,128,64,4,0,[16; 4; 197; 1; 128; 64; 4; 0],0.0017401919849362457,0.12420304468018874,tvm
64,1,197,1,128,128,8,1,[64; 1; 197; 1; 128; 128; 8; 1],0.0026518726263020653,0.08150359135406055,tvm
24,2,197,1,128,128,8,1,[24; 2; 197; 1; 128; 128; 8; 1],0.0009200163121931837,0.23492751160237982,tvm
24,12,197,1,64,64,4,0,[24; 12; 197; 1; 64; 64; 4; 0],0.0037685303432226647,0.05735316507291615,tvm
12,4,197,1,128,128,8,1,[12; 4; 197; 1; 128; 128; 8; 1],0.0017834869995567715,0.12118795534302006,tvm
1,1,197,1,192,96,6,1,[1; 1; 197; 1; 192; 96; 6; 1],0.003184303091984475,0.06787580723744642,tvm
16,16,197,1,128,64,4,1,[16; 16; 197; 1; 128; 64; 4; 1],0.0005023789808547008,0.4302272807859661,tvm
2,1,197,1,128,128,8,1,[2; 1; 197; 1; 128; 128; 8; 1],0.005292979156365618,0.04083468618938445,tvm
2,2,197,1,128,128,8,1,[2; 2; 197; 1; 128; 128; 8; 1],0.005282790407363791,0.04091344274341545,tvm
6,6,197,1,192,96,6,1,[6; 6; 197; 1; 192; 96; 6; 1],0.0020173106877336977,0.10714122726428285,tvm
24,12,1,1,96,96,6,1,[24; 12; 1; 1; 96; 96; 6; 1],0.002151526015950367,0.10045760137446968,tvm
4,1,197,1,128,128,8,1,[4; 1; 197; 1; 128; 128; 8; 1],0.0027642417499009753,0.07819039086030939,tvm
6,1,197,1,128,128,8,1,[6; 1; 197; 1; 128; 128; 8; 1],0.0024580879689892754,0.0879289698269077,tvm
16,1,197,1,128,64,4,1,[16; 1; 197; 1; 128; 64; 4; 1],0.002474157203323557,0.08735788597701226,tvm
24,8,1,1,96,96,6,0,[24; 8; 1; 1; 96; 96; 6; 0],0.0011515470623635338,0.18769284375883385,tvm
