kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
160,40,750,1,64,64,0,[160; 40; 750; 1; 64; 64; 0],0.018223198494524695,0.2508576402107508,tvm
320,10,60,1,64,64,1,[320; 10; 60; 1; 64; 64; 1],0.031565706740366295,0.1448226269422512,tvm
20,5,3,1,64,64,0,[20; 5; 3; 1; 64; 64; 0],0.01498130161780864,0.30514228256337905,tvm
640,32,5,1,64,64,1,[640; 32; 5; 1; 64; 64; 1],0.01566571812145412,0.2918109808938809,tvm
320,64,500,1,64,64,0,[320; 64; 500; 1; 64; 64; 0],0.03705473174341023,0.12336963071501791,tvm
32,32,2,1,256,128,0,[32; 32; 2; 1; 256; 128; 0],0.05394566303584725,0.08474135480345894,tvm
32,32,60,1,128,128,0,[32; 32; 60; 1; 128; 128; 0],0.031265183992218226,0.14621467036836824,tvm
32,32,250,1,256,128,0,[32; 32; 250; 1; 256; 128; 0],0.018063181487377733,0.2530799225276574,tvm
16,16,5,1,256,64,1,[16; 16; 5; 1; 256; 64; 1],0.018455127370543778,0.24770506752096585,tvm
256,16,500,1,64,64,0,[256; 16; 500; 1; 64; 64; 0],0.017337063618469983,0.2636795175948028,tvm
320,8,3,1,64,64,1,[320; 8; 3; 1; 64; 64; 1],0.033059239765862,0.1382799061262495,tvm
64,64,500,1,256,128,0,[64; 64; 500; 1; 256; 128; 0],0.03520177150494419,0.12986359424515045,tvm
80,8,3,1,64,64,1,[80; 8; 3; 1; 64; 64; 1],0.017598665130208246,0.2597599612019254,tvm
32,32,500,1,256,64,0,[32; 32; 500; 1; 256; 64; 0],0.03017397574149072,0.15150236119341176,tvm
32,32,20,1,256,64,0,[32; 32; 20; 1; 256; 64; 0],0.039401380985509604,0.11602203925567424,tvm
20,4,25,1,64,64,1,[20; 4; 25; 1; 64; 64; 1],0.012762695507262833,0.35818676147426076,tvm
320,40,100,1,64,64,1,[320; 40; 100; 1; 64; 64; 1],0.018226271626190282,0.2508153431039427,tvm
10,2,5,1,64,64,1,[10; 2; 5; 1; 64; 64; 1],0.013860413615475409,0.3298190586696841,tvm
80,40,2,1,64,64,1,[80; 40; 2; 1; 64; 64; 1],0.03743426175788045,0.12211883864562176,tvm
10,5,3,1,256,64,1,[10; 5; 3; 1; 256; 64; 1],0.02104525762842968,0.21721894082461154,tvm
32,2,6,1,64,64,1,[32; 2; 6; 1; 64; 64; 1],0.022175013000378385,0.20615223861878082,tvm
40,20,4,1,64,64,1,[40; 20; 4; 1; 64; 64; 1],0.0173369452386396,0.2636813180467359,tvm
40,40,500,1,256,128,1,[40; 40; 500; 1; 256; 128; 1],0.02553853450808674,0.17900120972019892,tvm
20,1,6,1,64,64,1,[20; 1; 6; 1; 64; 64; 1],0.02882153424434364,0.1586115621976556,tvm
2,1,125,1,64,64,1,[2; 1; 125; 1; 64; 64; 1],0.02341524275834672,0.1952330205843805,tvm
40,40,20,1,64,64,0,[40; 40; 20; 1; 64; 64; 0],0.013877772493287921,0.3294065076826684,tvm
32,8,20,1,128,64,0,[32; 8; 20; 1; 128; 64; 0],0.03565615101251751,0.1282086944780921,tvm
80,2,300,1,64,64,0,[80; 2; 300; 1; 64; 64; 0],0.035240649012848735,0.12972032863985647,tvm
256,4,50,1,256,64,1,[256; 4; 50; 1; 256; 64; 1],0.02263122437580023,0.2019965201846013,tvm
640,64,4,1,128,128,1,[640; 64; 4; 1; 128; 128; 1],0.02520591948996298,0.18136329338229135,tvm
32,16,375,1,256,128,0,[32; 16; 375; 1; 256; 128; 0],0.0359578155039344,0.1271331004779303,tvm
