i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
300,60,6,1280,320,64,128,8,4,0,[300; 60; 6; 1280; 320; 64; 128; 8; 4; 0],0.030637122981715947,0.5968482842408894,tvm
750,250,5,32,32,32,80,8,2,0,[750; 250; 5; 32; 32; 32; 80; 8; 2; 0],0.032743518735514954,0.5584529394478565,tvm
1500,1500,10,640,320,32,32,8,2,0,[1500; 1500; 10; 640; 320; 32; 32; 8; 2; 0],0.03314942249562591,0.5516148671406598,tvm
300,150,6,256,32,32,128,1,2,0,[300; 150; 6; 256; 32; 32; 128; 1; 2; 0],0.03235568551463075,0.5651468666131572,tvm
375,25,5,512,512,64,32,4,4,0,[375; 25; 5; 512; 512; 64; 32; 4; 4; 0],0.02948842674959451,0.6200979944094756,tvm
250,250,5,64,32,32,160,32,2,0,[250; 250; 5; 64; 32; 32; 160; 32; 2; 0],0.030993963009677827,0.5899766441614644,tvm
75,75,5,5120,64,64,40,1,4,1,[75; 75; 5; 5120; 64; 64; 40; 1; 4; 1],0.03136331876157783,0.5830286783334777,tvm
250,250,10,1024,256,32,128,32,2,1,[250; 250; 10; 1024; 256; 32; 128; 32; 2; 1],0.029986967478180304,0.6097887123471118,tvm
1500,75,5,256,64,32,64,64,2,1,[1500; 75; 5; 256; 64; 32; 64; 64; 2; 1],0.04693801497342065,0.3895715295175743,tvm
150,150,5,1280,64,64,64,1,4,0,[150; 150; 5; 1280; 64; 64; 64; 1; 4; 0],0.026899004238657653,0.6797914942678489,tvm
25,25,5,1280,320,80,64,1,5,0,[25; 25; 5; 1280; 320; 80; 64; 1; 5; 0],0.028537321253679693,0.640764917041976,tvm
375,75,5,32,32,32,32,8,2,1,[375; 75; 5; 32; 32; 32; 32; 8; 2; 1],0.029128827998647466,0.627753175876604,tvm
300,300,4,640,640,32,40,2,2,0,[300; 300; 4; 640; 640; 32; 40; 2; 2; 0],0.03198905650060624,0.5716240579139227,tvm
1500,750,6,512,512,64,40,5,4,1,[1500; 750; 6; 512; 512; 64; 40; 5; 4; 1],0.040771825006231666,0.4484889818623389,tvm
300,100,4,320,64,64,80,16,4,0,[300; 100; 4; 320; 64; 64; 80; 16; 4; 0],0.028092814987758175,0.6509035955877877,tvm
60,60,6,256,128,32,160,16,2,1,[60; 60; 6; 256; 128; 32; 160; 16; 2; 1],0.02539233723655343,0.7201272618335883,tvm
250,250,5,1024,64,16,20,10,1,1,[250; 250; 5; 1024; 64; 16; 20; 10; 1; 1],0.04311671850155108,0.42409800469988174,tvm
1500,750,6,320,160,16,20,5,1,1,[1500; 750; 6; 320; 160; 16; 20; 5; 1; 1],0.037551840010564774,0.4869458934787167,tvm
60,12,6,512,32,32,160,16,2,0,[60; 12; 6; 512; 32; 32; 160; 16; 2; 0],0.04349628125783056,0.4203971869991148,tvm
750,50,5,32,32,16,80,1,1,0,[750; 50; 5; 32; 32; 16; 80; 1; 1; 0],0.042875045735854656,0.4264885079859562,tvm
60,12,6,256,128,32,32,1,2,0,[60; 12; 6; 256; 128; 32; 32; 1; 2; 0],0.04223049199208617,0.4329978985123109,tvm
750,250,5,160,80,16,32,16,1,0,[750; 250; 5; 160; 80; 16; 32; 16; 1; 0],0.05002373503521085,0.36554076325654783,tvm
300,30,5,2560,160,32,40,10,2,0,[300; 30; 5; 2560; 160; 32; 40; 10; 2; 0],0.047784946247702464,0.38266683802314577,tvm
25,25,5,2560,640,80,256,16,5,0,[25; 25; 5; 2560; 640; 80; 256; 16; 5; 0],0.042360359511803836,0.431670422452834,tvm
100,100,5,5120,640,80,320,20,5,1,[100; 100; 5; 5120; 640; 80; 320; 20; 5; 1],0.0439646037411876,0.4159190059657829,tvm
100,50,5,512,128,64,10,1,4,0,[100; 50; 5; 512; 128; 64; 10; 1; 4; 0],0.04075676924549043,0.4486546560050887,tvm
300,100,20,320,64,16,64,2,1,0,[300; 100; 20; 320; 64; 16; 64; 2; 1; 0],0.03561555300257169,0.5134193559873669,tvm
300,30,10,512,32,16,80,8,1,1,[300; 30; 10; 512; 32; 16; 80; 8; 1; 1],0.04348165125702508,0.42053863542636205,tvm
500,100,5,512,32,16,40,4,1,1,[500; 100; 5; 512; 32; 16; 40; 4; 1; 1],0.04001536674331874,0.4569673046609627,tvm
150,50,5,160,160,80,10,2,5,0,[150; 50; 5; 160; 160; 80; 10; 2; 5; 0],0.03941575699718669,0.4639188912956672,tvm
75,25,5,5120,5120,32,4,4,2,1,[75; 25; 5; 5120; 5120; 32; 4; 4; 2; 1],0.06337725248886272,0.2885217261339569,tvm
30,30,5,1024,1024,64,4,2,4,1,[30; 30; 5; 1024; 1024; 64; 4; 2; 4; 1],0.05534441600320861,0.33039854074264996,tvm
500,250,25,1280,80,16,160,4,1,1,[500; 250; 25; 1280; 80; 16; 160; 4; 1; 1],0.03830548023688607,0.47736548850537974,tvm
1500,150,5,640,320,16,80,20,1,0,[1500; 150; 5; 640; 320; 16; 80; 20; 1; 0],0.039127923984779045,0.4673315735541584,tvm
500,50,10,32,16,16,128,2,1,0,[500; 50; 10; 32; 16; 16; 128; 2; 1; 0],0.04460219477186911,0.40997341900419676,tvm
300,30,6,2560,512,64,32,1,4,1,[300; 30; 6; 2560; 512; 64; 32; 1; 4; 1],0.04243644073721953,0.43089651177264077,tvm
300,20,5,640,64,32,32,16,2,0,[300; 20; 5; 640; 64; 32; 32; 16; 2; 0],0.04454533100943081,0.41049676523546247,tvm
750,375,5,1024,128,32,128,32,2,0,[750; 375; 5; 1024; 128; 32; 128; 32; 2; 0],0.042901426495518535,0.42622625351687093,tvm
750,750,6,1024,1024,64,80,4,4,1,[750; 750; 6; 1024; 1024; 64; 80; 4; 4; 1],0.035984289745101705,0.5081582661556742,tvm
750,250,10,1024,128,32,128,32,2,1,[750; 250; 10; 1024; 128; 32; 128; 32; 2; 1],0.043948276521405205,0.4160735239937827,tvm
12,12,6,256,256,64,80,1,4,0,[12; 12; 6; 256; 256; 64; 80; 1; 4; 0],0.03663073276402429,0.49919051315492713,tvm
300,75,5,640,160,32,16,8,2,0,[300; 75; 5; 640; 160; 32; 16; 8; 2; 0],0.03486494175740518,0.524472818940834,tvm
1500,300,6,128,128,16,160,1,1,1,[1500; 300; 6; 128; 128; 16; 160; 1; 1; 1],0.0328763872385025,0.55619597594651,tvm
30,15,5,1024,1024,32,80,16,2,1,[30; 15; 5; 1024; 1024; 32; 80; 16; 2; 1],0.04525318575906567,0.4040757347575484,tvm
375,125,5,256,256,32,20,10,2,0,[375; 125; 5; 256; 256; 32; 20; 10; 2; 0],0.030463379254797474,0.6002523269914185,tvm
500,50,10,512,256,16,64,32,1,1,[500; 50; 10; 512; 256; 16; 64; 32; 1; 1],0.03613365101045929,0.5060577543194095,tvm
500,500,4,2560,1280,32,160,1,2,1,[500; 500; 4; 2560; 1280; 32; 160; 1; 2; 1],0.04881711947382428,0.37457585541316263,tvm
750,750,30,320,80,16,128,1,1,0,[750; 750; 30; 320; 80; 16; 128; 1; 1; 0],0.033372087753377855,0.5479343821952957,tvm
300,300,15,256,128,16,80,20,1,1,[300; 300; 15; 256; 128; 16; 80; 20; 1; 1],0.03223031625384465,0.5673451709780553,tvm
150,150,15,1280,128,16,128,4,1,0,[150; 150; 15; 1280; 128; 16; 128; 4; 1; 0],0.0344546124979388,0.5307189069912833,tvm
250,250,25,1024,512,16,128,2,1,1,[250; 250; 25; 1024; 512; 16; 128; 2; 1; 1],0.033176072232890874,0.5511717649199523,tvm
1500,30,6,512,512,32,10,1,2,1,[1500; 30; 6; 512; 512; 32; 10; 1; 2; 1],0.059597877494525164,0.3068182132391219,tvm
500,50,10,320,80,16,20,4,1,1,[500; 50; 10; 320; 80; 16; 20; 4; 1; 1],0.03506621150881983,0.5214624990531148,tvm
1500,375,25,256,128,16,40,2,1,1,[1500; 375; 25; 256; 128; 16; 40; 2; 1; 1],0.03630107274511829,0.5037237994068183,tvm
500,500,4,2560,160,80,160,20,5,1,[500; 500; 4; 2560; 160; 80; 160; 20; 5; 1],0.029020096000749618,0.6301052307077809,tvm
75,75,15,640,64,16,160,16,1,1,[75; 75; 15; 640; 64; 16; 160; 16; 1; 1],0.03524455375736579,0.5188238276926045,tvm
1500,100,25,640,16,16,80,4,1,1,[1500; 100; 25; 640; 16; 16; 80; 4; 1; 1],0.03172651774366386,0.5763542798316134,tvm
100,25,5,512,512,32,20,2,2,0,[100; 25; 5; 512; 512; 32; 20; 2; 2; 0],0.03283175325486809,0.556952111078716,tvm
60,30,10,5120,320,32,20,10,2,1,[60; 30; 10; 5120; 320; 32; 20; 10; 2; 1],0.034722540236543864,0.5266237481804231,tvm
300,20,4,640,640,64,160,10,4,0,[300; 20; 4; 640; 640; 64; 160; 10; 4; 0],0.03212850997806527,0.5691429293857164,tvm
100,100,5,640,64,32,8,4,2,1,[100; 100; 5; 640; 64; 32; 8; 4; 2; 1],0.03678473175386898,0.4971006560022288,tvm
60,60,12,5120,320,32,32,1,2,1,[60; 60; 12; 5120; 320; 32; 32; 1; 2; 1],0.034371702757198364,0.5319990811885152,tvm
300,30,5,640,320,64,10,1,4,1,[300; 30; 5; 640; 320; 64; 10; 1; 4; 1],0.035037155234022066,0.521894947337458,tvm
250,250,5,1280,32,32,40,4,2,0,[250; 250; 5; 1280; 32; 32; 40; 4; 2; 0],0.03863785249995999,0.4732590737472592,tvm
300,100,10,1280,256,32,32,2,2,0,[300; 100; 10; 1280; 256; 32; 32; 2; 2; 0],0.033468829991761595,0.546350568281453,tvm
300,60,6,320,64,32,64,64,2,0,[300; 60; 6; 320; 64; 32; 64; 64; 2; 0],0.047701903007691726,0.3833330146758672,tvm
1500,300,6,512,128,64,40,1,4,0,[1500; 300; 6; 512; 128; 64; 40; 1; 4; 0],0.04973134625470266,0.36768991114905053,tvm
300,150,5,1024,512,32,80,20,2,0,[300; 150; 5; 1024; 512; 32; 80; 20; 2; 0],0.03409526249743067,0.5363124653195515,tvm
