i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
64,64,4,128,32,32,64,8,2,0,[64; 64; 4; 128; 32; 32; 64; 8; 2; 0],0.007648236998647917,0.5222870628618613,tvm
32,16,16,1024,16,16,32,8,1,0,[32; 16; 16; 1024; 16; 16; 32; 8; 1; 0],0.011124523436592426,0.35907832464586226,tvm
8,8,4,1024,1024,32,256,2,2,0,[8; 8; 4; 1024; 1024; 32; 256; 2; 2; 0],0.011448478253441863,0.34891757224540404,tvm
16,8,4,512,512,32,16,1,2,0,[16; 8; 4; 512; 512; 32; 16; 1; 2; 0],0.011419515372836031,0.34980251855496974,tvm
32,16,16,1024,64,16,32,8,1,0,[32; 16; 16; 1024; 64; 16; 32; 8; 1; 0],0.012072158060618676,0.330891562058501,tvm
64,16,8,512,32,32,256,1,2,1,[64; 16; 8; 512; 32; 32; 256; 1; 2; 1],0.008750642249651719,0.4564893780515624,tvm
64,64,8,1024,64,16,8,2,1,0,[64; 64; 8; 1024; 64; 16; 8; 2; 1; 0],0.012524719000793993,0.318935318057196,tvm
32,8,4,512,256,32,128,1,2,0,[32; 8; 4; 512; 256; 32; 128; 1; 2; 0],0.010044605995062739,0.3976836164662612,tvm
64,64,16,1024,256,16,16,4,1,1,[64; 64; 16; 1024; 256; 16; 16; 4; 1; 1],0.01078539274749346,0.3703690103472201,tvm
16,8,8,1024,512,32,256,32,2,1,[16; 8; 8; 1024; 512; 32; 256; 32; 2; 1],0.009844796441029757,0.40575498559291784,tvm
32,16,8,512,512,32,128,1,2,1,[32; 16; 8; 512; 512; 32; 128; 1; 2; 1],0.00798945324640954,0.49998105188116604,tvm
32,8,4,512,512,64,32,4,4,1,[32; 8; 4; 512; 512; 64; 32; 4; 4; 1],0.00977265799883753,0.40875013108720243,tvm
64,32,16,1024,256,16,32,32,1,0,[64; 32; 16; 1024; 256; 16; 32; 32; 1; 0],0.012602606511791237,0.3169642116777857,tvm
64,8,4,512,128,64,1,1,4,0,[64; 8; 4; 512; 128; 64; 1; 1; 4; 0],0.013538713377784006,0.29504836439258925,tvm
64,32,4,512,256,64,256,64,4,1,[64; 32; 4; 512; 256; 64; 256; 64; 4; 1],0.007284168998012319,0.5483913455584659,tvm
64,8,8,512,32,32,4,1,2,0,[64; 8; 8; 512; 32; 32; 4; 1; 2; 0],0.010142823128262535,0.3938326822405616,tvm
32,16,8,512,64,32,128,1,2,0,[32; 16; 8; 512; 64; 32; 128; 1; 2; 0],0.007716419808275532,0.5176720988937417,tvm
8,8,4,1024,64,64,64,2,4,1,[8; 8; 4; 1024; 64; 64; 64; 2; 4; 1],0.008315932318510022,0.4803520621739442,tvm
32,8,4,512,32,32,32,8,2,0,[32; 8; 4; 512; 32; 32; 32; 8; 2; 0],0.010759764685644768,0.3712511708945303,tvm
32,16,8,512,512,32,64,64,2,1,[32; 16; 8; 512; 512; 32; 64; 64; 2; 1],0.008130507936584763,0.4913069723628076,tvm
16,16,8,512,32,32,64,8,2,1,[16; 16; 8; 512; 32; 32; 64; 8; 2; 1],0.00727906762767816,0.5487756732615229,tvm
16,16,4,512,256,32,4,4,2,0,[16; 16; 4; 512; 256; 32; 4; 4; 2; 0],0.011196115498023573,0.35678224637825434,tvm
64,16,4,512,512,64,2,1,4,0,[64; 16; 4; 512; 512; 64; 2; 1; 4; 0],0.016222216116148047,0.24624103202021372,tvm
32,16,4,512,128,64,32,16,4,1,[32; 16; 4; 512; 128; 64; 32; 16; 4; 1],0.009415459557203576,0.4242570650775161,tvm
64,64,4,512,256,64,2,2,4,1,[64; 64; 4; 512; 256; 64; 2; 2; 4; 1],0.014300934373750351,0.27932267456784926,tvm
16,16,8,1024,128,32,256,8,2,0,[16; 16; 8; 1024; 128; 32; 256; 8; 2; 0],0.009355201182188466,0.4269897739559659,tvm
32,16,4,512,64,64,64,32,4,1,[32; 16; 4; 512; 64; 64; 64; 32; 4; 1],0.008173954629455693,0.4886955481377854,tvm
32,32,8,512,512,32,128,32,2,1,[32; 32; 8; 512; 512; 32; 128; 32; 2; 1],0.006841637376055587,0.5838624613569088,tvm
64,8,8,1024,512,32,128,2,2,0,[64; 8; 8; 1024; 512; 32; 128; 2; 2; 0],0.009871904556348454,0.4046407879345222,tvm
32,8,4,1024,1024,64,32,8,4,1,[32; 8; 4; 1024; 1024; 64; 32; 8; 4; 1],0.008990282629383728,0.44432143045641503,tvm
32,8,8,1024,256,32,128,64,2,1,[32; 8; 8; 1024; 256; 32; 128; 64; 2; 1],0.009623806938179769,0.41507225402121023,tvm
64,8,4,1024,1024,32,4,1,2,0,[64; 8; 4; 1024; 1024; 32; 4; 1; 2; 0],0.011023113933333661,0.3623817427864669,tvm
8,8,8,1024,64,32,64,16,2,1,[8; 8; 8; 1024; 64; 32; 64; 16; 2; 1],0.012113173252146225,0.32977116358733455,tvm
16,8,8,1024,128,32,16,8,2,0,[16; 8; 8; 1024; 128; 32; 16; 8; 2; 0],0.011183640999661293,0.3571802097560372,tvm
32,32,4,1024,1024,32,64,2,2,1,[32; 32; 4; 1024; 1024; 32; 64; 2; 2; 1],0.00734166555776028,0.5440965958838723,tvm
64,32,8,512,512,32,128,4,2,1,[64; 32; 8; 512; 512; 32; 128; 4; 2; 1],0.007335611058806535,0.5445456698934,tvm
16,16,4,1024,256,64,128,4,4,1,[16; 16; 4; 1024; 256; 64; 128; 4; 4; 1],0.008099352249701042,0.4931968773481464,tvm
64,64,8,512,128,32,128,16,2,0,[64; 64; 8; 512; 128; 32; 128; 16; 2; 0],0.006620975625992287,0.6033212420256524,tvm
64,8,8,1024,256,32,16,8,2,0,[64; 8; 8; 1024; 256; 32; 16; 8; 2; 0],0.010084586494485848,0.39610699360647383,tvm
32,16,4,1024,32,32,4,4,2,1,[32; 16; 4; 1024; 32; 32; 4; 4; 2; 1],0.01206596218253253,0.33106147505401967,tvm
