kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
64,4,8,4,128,64,4,1,[64; 4; 8; 4; 128; 64; 4; 1],0.10449996194802225,0.5351585999729807,tvm
64,32,64,4,14336,32,2,1,[64; 32; 64; 4; 14336; 32; 2; 1],0.12272586999461055,0.45568267990920913,tvm
16,16,1,1,224,32,2,1,[16; 16; 1; 1; 224; 32; 2; 1],0.20678316906560212,0.27044780088263076,tvm
128,64,16,4,2048,64,4,1,[128; 64; 16; 4; 2048; 64; 4; 1],0.1327373010572046,0.4213137745601159,tvm
64,8,4,2,128,64,4,1,[64; 8; 4; 2; 128; 64; 4; 1],0.1412659699562937,0.3958777428890743,tvm
32,8,16,2,1024,128,8,1,[32; 8; 16; 2; 1024; 128; 8; 1],0.11901949299499393,0.46987305966498744,tvm
32,16,8,4,7168,32,2,1,[32; 16; 8; 4; 7168; 32; 2; 1],0.16601071099285036,0.3368701513225965,tvm
16,8,4,2,448,32,2,1,[16; 8; 4; 2; 448; 32; 2; 1],0.1604463729308918,0.34855292962852574,tvm
16,8,8,4,2048,32,2,0,[16; 8; 8; 4; 2048; 32; 2; 0],0.12448689807206392,0.4492364594140629,tvm
16,8,8,2,224,32,2,1,[16; 8; 8; 2; 224; 32; 2; 1],0.13894645194523036,0.4024863719109385,tvm
16,4,64,8,2048,32,2,1,[16; 4; 64; 8; 2048; 32; 2; 1],0.14261906500905752,0.3921218620370403,tvm
64,8,64,4,448,64,4,1,[64; 8; 64; 4; 448; 64; 4; 1],0.10154925100505352,0.5507086736715598,tvm
16,16,8,2,1792,128,8,1,[16; 16; 8; 2; 1792; 128; 8; 1],0.14963675301987678,0.37373206919228424,tvm
8,4,4,4,256,32,2,1,[8; 4; 4; 4; 256; 32; 2; 1],0.11620843200944364,0.4812392041292553,tvm
16,16,16,4,3584,32,2,1,[16; 16; 16; 4; 3584; 32; 2; 1],0.11609405698254704,0.48171331751926505,tvm
64,8,64,4,512,32,2,1,[64; 8; 64; 4; 512; 32; 2; 1],0.11716234195046127,0.4773210606952464,tvm
64,64,32,4,1792,64,4,0,[64; 64; 32; 4; 1792; 64; 4; 0],0.12239127093926072,0.4569284468096327,tvm
64,16,4,2,896,64,4,1,[64; 16; 4; 2; 896; 64; 4; 1],0.13852761103771627,0.403703297230089,tvm
8,8,2,2,64,32,2,1,[8; 8; 2; 2; 64; 32; 2; 1],0.16413252300117165,0.34072499655009947,tvm
16,16,8,2,896,32,2,1,[16; 16; 8; 2; 896; 32; 2; 1],0.13422414904925972,0.4166467340598258,tvm
128,128,4,4,1792,32,2,1,[128; 128; 4; 4; 1792; 32; 2; 1],0.19026128796394914,0.29393290633000374,tvm
64,64,4,2,512,64,4,1,[64; 64; 4; 2; 512; 64; 4; 1],0.22960844601038843,0.2435627012205078,tvm
32,16,4,2,1792,112,7,1,[32; 16; 4; 2; 1792; 112; 7; 1],0.11739209399092942,0.47638687949168396,tvm
64,4,4,4,64,32,2,1,[64; 4; 4; 4; 64; 32; 2; 1],0.11991631193086505,0.4663590168247923,tvm
32,16,4,2,128,64,4,1,[32; 16; 4; 2; 128; 64; 4; 1],0.14596682705450803,0.38312851256573355,tvm
64,32,8,2,1792,112,7,1,[64; 32; 8; 2; 1792; 112; 7; 1],0.11833416298031807,0.4725943203961725,tvm
64,32,16,2,1792,112,7,1,[64; 32; 16; 2; 1792; 112; 7; 1],0.11847772600594908,0.47202166363764647,tvm
32,4,8,4,128,32,2,1,[32; 4; 8; 4; 128; 32; 2; 1],0.1227080199168995,0.4557489671107585,tvm
64,16,16,4,2048,32,2,0,[64; 16; 16; 4; 2048; 32; 2; 0],0.13072632404509932,0.42779488937545646,tvm
64,1,8,8,1792,32,2,1,[64; 1; 8; 8; 1792; 32; 2; 1],0.11407920997589827,0.49022125368109154,tvm
64,32,16,8,1792,32,2,0,[64; 32; 16; 8; 1792; 32; 2; 0],0.1307879869127646,0.4275931960833268,tvm
32,16,4,4,1792,32,2,0,[32; 16; 4; 4; 1792; 32; 2; 0],0.104508415912278,0.5351153095677454,tvm
8,4,4,4,1792,64,4,1,[8; 4; 4; 4; 1792; 64; 4; 1],0.1134390130173415,0.4929878341306107,tvm
16,16,64,2,1024,64,4,1,[16; 16; 64; 2; 1024; 64; 4; 1],0.11143325094599277,0.5018614539069446,tvm
