kc,ku,mc,mr,nc,nr,pack_c,X,time,peak,backend
12,1,1,1,384,64,0,[12; 1; 1; 1; 384; 64; 0],0.013217877509305254,0.5232601502442055,tvm
32,1,1,1,256,64,0,[32; 1; 1; 1; 256; 64; 0],0.014889482132275589,0.46451505230232787,tvm
16,16,1,1,256,128,1,[16; 16; 1; 1; 256; 128; 1],0.011389733495889232,0.6072476211954235,tvm
32,32,1,1,256,128,0,[32; 32; 1; 1; 256; 128; 0],0.01561197912087664,0.44301805157936974,tvm
16,4,1,1,192,64,1,[16; 4; 1; 1; 192; 64; 1],0.013845436755218543,0.4995428236542762,tvm
24,2,1,1,384,64,0,[24; 2; 1; 1; 384; 64; 0],0.01934202124539297,0.357583547431785,tvm
24,12,1,1,256,128,0,[24; 12; 1; 1; 256; 128; 0],0.011557178244402166,0.5984495890922675,tvm
12,1,1,1,768,96,0,[12; 1; 1; 1; 768; 96; 0],0.01991461824218277,0.34730209172568555,tvm
2,1,1,1,768,128,1,[2; 1; 1; 1; 768; 128; 1],0.025649084011092782,0.2696544082602464,tvm
4,1,1,1,768,128,1,[4; 1; 1; 1; 768; 128; 1],0.015721105999546126,0.4399428749878189,tvm
12,2,1,1,256,64,0,[12; 2; 1; 1; 256; 64; 0],0.013473446000716649,0.5133347898570781,tvm
8,1,1,1,768,128,1,[8; 1; 1; 1; 768; 128; 1],0.01231898525293218,0.5614414198427848,tvm
16,4,1,1,192,96,0,[16; 4; 1; 1; 192; 96; 0],0.012885830248706043,0.5367437284161876,tvm
2,1,1,1,768,128,0,[2; 1; 1; 1; 768; 128; 0],0.025330920732812956,0.27304134122804613,tvm
16,2,1,1,768,96,0,[16; 2; 1; 1; 768; 96; 0],0.023265699885087088,0.2972783370192898,tvm
12,6,1,1,768,64,1,[12; 6; 1; 1; 768; 64; 1],0.018922623377875425,0.3655089695182171,tvm
16,4,1,1,128,128,1,[16; 4; 1; 1; 128; 128; 1],0.015232285120873712,0.45406112848758523,tvm
1,1,1,1,256,128,0,[1; 1; 1; 1; 256; 128; 0],0.04939480024040677,0.14002260435847882,tvm
4,1,1,1,256,128,0,[4; 1; 1; 1; 256; 128; 0],0.01584048187942244,0.4366274097010456,tvm
2,1,1,1,256,128,0,[2; 1; 1; 1; 256; 128; 0],0.02489527774741873,0.2778192973623561,tvm
24,4,1,1,128,128,0,[24; 4; 1; 1; 128; 128; 0],0.012080550310201943,0.5725226412564772,tvm
2,2,1,1,256,128,1,[2; 2; 1; 1; 256; 128; 1],0.024877224495867267,0.278020909148348,tvm
12,2,1,1,768,128,1,[12; 2; 1; 1; 768; 128; 1],0.020963951872545294,0.3299181668360142,tvm
12,3,1,1,768,128,1,[12; 3; 1; 1; 768; 128; 1],0.020934939617291093,0.3303753771382278,tvm
12,6,1,1,384,96,1,[12; 6; 1; 1; 384; 96; 1],0.012119041253754403,0.5707042683170929,tvm
4,4,1,1,768,128,1,[4; 4; 1; 1; 768; 128; 1],0.015727706384495832,0.43975824588426043,tvm
24,3,1,1,384,128,0,[24; 3; 1; 1; 384; 128; 0],0.018396053885226138,0.3759713150755184,tvm
16,2,1,1,384,128,0,[16; 2; 1; 1; 384; 128; 0],0.012987465626792982,0.5325433591262136,tvm
8,4,1,1,768,128,0,[8; 4; 1; 1; 768; 128; 0],0.011881588252435904,0.5821097671862688,tvm
16,4,1,1,256,128,0,[16; 4; 1; 1; 256; 128; 0],0.01171152974711731,0.5905623535756274,tvm
6,2,1,1,64,64,0,[6; 2; 1; 1; 64; 64; 0],0.014156100500258617,0.4885800698647354,tvm
6,2,197,1,256,128,0,[6; 2; 197; 1; 256; 128; 0],0.01522381826362107,0.45431365848316885,tvm
24,1,197,1,192,96,1,[24; 1; 197; 1; 192; 96; 1],0.012481863064749632,0.5541150816628755,tvm
32,1,197,1,256,128,1,[32; 1; 197; 1; 256; 128; 1],0.014672842997242697,0.4713734463544857,tvm
8,1,1,1,192,64,1,[8; 1; 1; 1; 192; 64; 1],0.017381199751980603,0.39792354210994224,tvm
12,6,197,1,64,64,1,[12; 6; 197; 1; 64; 64; 1],0.014127440750598907,0.48957123186911,tvm
12,6,197,1,128,64,1,[12; 6; 197; 1; 128; 64; 1],0.01368897850625217,0.5052523508799176,tvm
24,4,197,1,128,64,0,[24; 4; 197; 1; 128; 64; 0],0.013638590622576885,0.5071190097882551,tvm
24,4,1,1,384,64,0,[24; 4; 1; 1; 384; 64; 0],0.018808079999871552,0.3677349613291631,tvm
4,1,1,1,256,128,1,[4; 1; 1; 1; 256; 128; 1],0.017079165743780322,0.4049605627808428,tvm
4,4,1,1,256,64,0,[4; 4; 1; 1; 256; 64; 0],0.01622536437935196,0.42627015392210327,tvm
12,6,197,1,128,64,0,[12; 6; 197; 1; 128; 64; 0],0.01391240225348156,0.4971383406986924,tvm
24,8,1,1,128,64,1,[24; 8; 1; 1; 128; 64; 1],0.014560790121322498,0.4750009109258683,tvm
16,1,1,1,384,96,1,[16; 1; 1; 1; 384; 96; 1],0.013543316992581822,0.510686457033896,tvm
32,1,1,1,192,96,1,[32; 1; 1; 1; 192; 96; 1],0.013133306259987876,0.5266296570346602,tvm
12,3,1,1,384,64,1,[12; 3; 1; 1; 384; 64; 1],0.013021372244111262,0.5311566585892216,tvm
24,3,1,1,128,64,1,[24; 3; 1; 1; 128; 64; 1],0.014519393633236177,0.47635519403484905,tvm
8,1,1,1,192,96,1,[8; 1; 1; 1; 192; 96; 1],0.017557117986143567,0.3939364408718518,tvm
12,2,197,1,192,96,1,[12; 2; 197; 1; 192; 96; 1],0.014599331741919741,0.47374692853709344,tvm
12,1,197,1,96,96,0,[12; 1; 197; 1; 96; 96; 0],0.01227221386943711,0.5635811635138824,tvm
24,12,197,1,192,96,0,[24; 12; 197; 1; 192; 96; 0],0.013460471876896918,0.5138295770521699,tvm
8,4,1,1,64,64,0,[8; 4; 1; 1; 64; 64; 0],0.013192402489949018,0.5242705850354403,tvm
12,12,1,1,128,64,1,[12; 12; 1; 1; 128; 64; 1],0.017560160864377394,0.3938681783638544,tvm
32,8,197,1,128,128,0,[32; 8; 197; 1; 128; 128; 0],0.015097380368388258,0.4581184551665992,tvm
24,6,1,1,128,64,1,[24; 6; 1; 1; 128; 64; 1],0.014442449508351274,0.4788930414767387,tvm
6,3,1,1,256,128,1,[6; 3; 1; 1; 256; 128; 1],0.017356590120471083,0.3984877515354295,tvm
6,3,1,1,128,128,0,[6; 3; 1; 1; 128; 128; 0],0.015213849503197707,0.4546113440897951,tvm
24,12,1,1,256,64,0,[24; 12; 1; 1; 256; 64; 0],0.014264803627156653,0.48485690740680654,tvm
24,1,197,1,256,128,0,[24; 1; 197; 1; 256; 128; 0],0.011845957065816037,0.5838606820032501,tvm
32,8,1,1,192,96,0,[32; 8; 1; 1; 192; 96; 0],0.013526753507903777,0.5113117916569764,tvm
12,12,1,1,64,64,0,[12; 12; 1; 1; 64; 64; 0],0.014399429870536551,0.4803237790393748,tvm
16,2,1,1,384,128,1,[16; 2; 1; 1; 384; 128; 1],0.01279204424645286,0.5406789124690867,tvm
24,6,197,1,96,96,0,[24; 6; 197; 1; 96; 96; 0],0.01323447487084195,0.5226039294287892,tvm
6,2,1,1,256,128,0,[6; 2; 1; 1; 256; 128; 0],0.014304455995443277,0.48351286994988174,tvm
16,1,197,1,256,128,1,[16; 1; 197; 1; 256; 128; 1],0.012679601248237304,0.545473665616265,tvm
32,1,1,1,256,128,1,[32; 1; 1; 1; 256; 128; 1],0.014318469373392873,0.4830396595519399,tvm
24,4,197,1,96,96,0,[24; 4; 197; 1; 96; 96; 0],0.013095686124870554,0.5281425123876002,tvm
16,16,1,1,192,64,0,[16; 16; 1; 1; 192; 64; 0],0.01432599224790465,0.4827860054468601,tvm
8,8,197,1,256,128,1,[8; 8; 197; 1; 256; 128; 1],0.015245595364831388,0.45366470812831156,tvm
8,1,1,1,128,128,1,[8; 1; 1; 1; 128; 128; 1],0.015462489871424623,0.44730108985942607,tvm
16,1,1,1,192,64,0,[16; 1; 1; 1; 192; 64; 0],0.014385150876478292,0.4808005582157516,tvm
