i1,i2,i3,j1,j2,j3,k1,ku,nvr,pack_c,X,time,peak,backend
32,16,2,32,32,32,2,1,2,0,[32; 16; 2; 32; 32; 32; 2; 1; 2; 0],0.42992338305339217,0.13007911534411268,tvm
64,16,2,14336,512,64,4,1,4,0,[64; 16; 2; 14336; 512; 64; 4; 1; 4; 0],0.17950696300249547,0.3115425295928821,tvm
64,64,2,3584,896,64,64,4,4,1,[64; 64; 2; 3584; 896; 64; 64; 4; 4; 1],0.1396286920644343,0.40051978219151496,tvm
64,64,2,512,64,32,64,2,2,1,[64; 64; 2; 512; 64; 32; 64; 2; 2; 1],0.17170573899056762,0.32569705393717463,tvm
64,16,2,7168,112,112,32,4,7,1,[64; 16; 2; 7168; 112; 112; 32; 4; 7; 1],0.2674547890201211,0.20909722177054033,tvm
64,8,4,3584,448,16,8,1,1,1,[64; 8; 4; 3584; 448; 16; 8; 1; 1; 1],0.21718696900643408,0.25749267365887224,tvm
32,16,4,2048,128,32,64,64,2,1,[32; 16; 4; 2048; 128; 32; 64; 64; 2; 1],0.25240692507941276,0.22156307048920468,tvm
16,16,4,14336,256,16,1,1,1,1,[16; 16; 4; 14336; 256; 16; 1; 1; 1; 1],0.2661002780077979,0.21016157424568538,tvm
64,16,4,14336,448,32,64,8,2,1,[64; 16; 4; 14336; 448; 32; 64; 8; 2; 1],0.22572336404118687,0.2477548284418138,tvm
64,16,4,2048,2048,64,64,16,4,1,[64; 16; 4; 2048; 2048; 64; 64; 16; 4; 1],0.17686367500573397,0.31619863904513046,tvm
64,16,2,14336,64,64,1,1,4,1,[64; 16; 2; 14336; 64; 64; 1; 1; 4; 1],0.4292052600067109,0.1302967566903978,tvm
32,8,8,3584,64,16,2,2,1,1,[32; 8; 8; 3584; 64; 16; 2; 2; 1; 1],0.5028632050380111,0.11121126535616396,tvm
64,64,2,3584,896,16,64,4,1,0,[64; 64; 2; 3584; 896; 16; 64; 4; 1; 0],0.26046927797142416,0.2147049885072001,tvm
64,8,8,896,224,16,8,8,1,1,[64; 8; 8; 896; 224; 16; 8; 8; 1; 1],0.21460276597645134,0.2605933482677943,tvm
16,16,16,448,112,16,32,16,1,1,[16; 16; 16; 448; 112; 16; 32; 16; 1; 1],0.4076150020118803,0.1371982215014338,tvm
32,16,2,1792,128,16,16,2,1,0,[32; 16; 2; 1792; 128; 16; 16; 2; 1; 0],0.27453950594644994,0.20370129661499992,tvm
64,32,4,14336,512,32,64,64,2,0,[64; 32; 4; 14336; 512; 32; 64; 64; 2; 0],0.18632000091020018,0.30015056386934436,tvm
32,16,4,896,448,16,64,1,1,0,[32; 16; 4; 896; 448; 16; 64; 1; 1; 0],0.28218139498494565,0.1981847645778237,tvm
32,32,2,14336,3584,128,32,16,8,1,[32; 32; 2; 14336; 3584; 128; 32; 16; 8; 1],0.1402214450063184,0.3988266796909231,tvm
64,32,2,3584,64,64,2,2,4,0,[64; 32; 2; 3584; 64; 64; 2; 2; 4; 0],0.5205322619294748,0.1074362867078358,tvm
64,32,2,14336,1792,64,4,2,4,0,[64; 32; 2; 14336; 1792; 64; 4; 2; 4; 0],0.19561349600553513,0.28589056724261447,tvm
32,32,2,256,64,32,32,2,2,1,[32; 32; 2; 256; 64; 32; 32; 2; 2; 1],0.24161619308870286,0.2314582173422554,tvm
64,16,4,2048,256,16,64,2,1,1,[64; 16; 4; 2048; 256; 16; 64; 2; 1; 1],0.2437321429606527,0.22944882301536046,tvm
64,16,4,14336,512,64,16,1,4,0,[64; 16; 4; 14336; 512; 64; 16; 1; 4; 0],0.1724500039126724,0.3242914007798627,tvm
64,32,2,3584,3584,32,8,8,2,1,[64; 32; 2; 3584; 3584; 32; 8; 8; 2; 1],0.16317067807540298,0.34273347388732556,tvm
32,16,4,3584,128,32,32,4,2,1,[32; 16; 4; 3584; 128; 32; 32; 4; 2; 1],0.2066518709762022,0.27061963227893293,tvm
64,16,4,1792,64,64,32,4,4,1,[64; 16; 4; 1792; 64; 64; 32; 4; 4; 1],0.18216094700619578,0.3070035276629914,tvm
32,32,2,14336,2048,16,32,4,1,0,[32; 32; 2; 14336; 2048; 16; 32; 4; 1; 0],0.22238439903594553,0.25147471484406575,tvm
64,16,8,7168,32,32,4,4,2,0,[64; 16; 8; 7168; 32; 32; 4; 4; 2; 0],0.37071100901812315,0.15085619788162088,tvm
64,64,4,1792,16,16,64,1,1,0,[64; 64; 4; 1792; 16; 16; 64; 1; 1; 0],0.19250405603088439,0.29050844167335965,tvm
64,16,8,14336,2048,32,16,2,2,0,[64; 16; 8; 14336; 2048; 32; 16; 2; 2; 0],0.13195606507360935,0.4238081311543891,tvm
64,64,4,7168,1024,16,64,2,1,0,[64; 64; 4; 7168; 1024; 16; 64; 2; 1; 0],0.16266168502625078,0.34380593883745986,tvm
64,32,2,1792,224,16,32,8,1,0,[64; 32; 2; 1792; 224; 16; 32; 8; 1; 0],0.2507026840467006,0.22306922459161174,tvm
32,32,2,14336,224,16,4,2,1,0,[32; 32; 2; 14336; 224; 16; 4; 2; 1; 0],0.1607194469543174,0.3479607128640076,tvm
32,32,4,3584,112,16,64,1,1,1,[32; 32; 4; 3584; 112; 16; 64; 1; 1; 1],0.20389590307604522,0.27427747438591665,tvm
64,64,2,1792,32,16,1,1,1,0,[64; 64; 2; 1792; 32; 16; 1; 1; 1; 0],1.3153738939436153,0.04251570872040628,tvm
32,16,4,224,16,16,4,2,1,0,[32; 16; 4; 224; 16; 16; 4; 2; 1; 0],0.40896319900639355,0.13674593085442643,tvm
64,16,8,7168,3584,32,2,2,2,1,[64; 16; 8; 7168; 3584; 32; 2; 2; 2; 1],0.23565312707796693,0.23731513358967904,tvm
32,32,4,224,32,32,16,4,2,0,[32; 32; 4; 224; 32; 32; 16; 4; 2; 0],0.25854772108141333,0.21630070108304522,tvm
32,32,16,448,112,16,64,64,1,1,[32; 32; 16; 448; 112; 16; 64; 64; 1; 1],0.27274831698741764,0.20503904094085834,tvm
