kc,ku,mc,mr,nc,nr,nvr,pack_c,X,time,peak,backend
8,8,197,1,384,128,8,1,[8; 8; 197; 1; 384; 128; 8; 1],0.01495035324478522,0.4626237559865719,tvm
64,2,197,1,768,128,8,1,[64; 2; 197; 1; 768; 128; 8; 1],0.020641612747567706,0.33507016413935775,tvm
24,2,197,1,768,128,8,1,[24; 2; 197; 1; 768; 128; 8; 1],0.011222091125091538,0.6163190526910067,tvm
32,8,197,1,192,192,12,0,[32; 8; 197; 1; 192; 192; 12; 0],0.015380309865577146,0.4496911071283565,tvm
12,12,197,1,384,128,8,1,[12; 12; 197; 1; 384; 128; 8; 1],0.015099878364708275,0.4580426679193448,tvm
16,16,197,1,768,128,8,1,[16; 16; 197; 1; 768; 128; 8; 1],0.010793487999762874,0.6407927234996249,tvm
24,12,197,1,768,96,6,1,[24; 12; 197; 1; 768; 96; 6; 1],0.012930273005622439,0.5348988817499163,tvm
32,4,197,1,192,192,12,1,[32; 4; 197; 1; 192; 192; 12; 1],0.0137087242474081,0.5045245966440859,tvm
24,4,197,1,192,192,12,0,[24; 4; 197; 1; 192; 192; 12; 0],0.01084607243683422,0.6376860021642401,tvm
12,6,197,1,384,128,8,1,[12; 6; 197; 1; 384; 128; 8; 1],0.01509432788589038,0.4582110991436562,tvm
32,2,197,1,384,128,8,0,[32; 2; 197; 1; 384; 128; 8; 0],0.014743128369445913,0.4691262531337851,tvm
24,2,197,1,384,128,8,0,[24; 2; 197; 1; 384; 128; 8; 0],0.011803466688434128,0.5859624764481894,tvm
6,6,197,1,384,192,12,1,[6; 6; 197; 1; 384; 192; 12; 1],0.016761471750214696,0.4126361142087645,tvm
24,12,197,1,768,96,6,0,[24; 12; 197; 1; 768; 96; 6; 0],0.013083460376947187,0.528636031459622,tvm
24,8,197,1,768,96,6,0,[24; 8; 197; 1; 768; 96; 6; 0],0.010978882630297448,0.6299719929915296,tvm
24,6,197,1,768,96,6,1,[24; 6; 197; 1; 768; 96; 6; 1],0.011657667375402525,0.5932909516720326,tvm
12,6,197,1,384,128,8,0,[12; 6; 197; 1; 384; 128; 8; 0],0.010911169563769363,0.633881503811883,tvm
8,8,197,1,768,192,12,1,[8; 8; 197; 1; 768; 192; 12; 1],0.016197310367715545,0.42700846093647166,tvm
12,3,197,1,768,192,12,1,[12; 3; 197; 1; 768; 192; 12; 1],0.011567987559828907,0.5978903880780855,tvm
48,16,197,1,768,128,8,1,[48; 16; 197; 1; 768; 128; 8; 1],0.021291236247634515,0.3248467346369796,tvm
64,16,197,1,768,128,8,1,[64; 16; 197; 1; 768; 128; 8; 1],0.020868966996204108,0.33141978578463444,tvm
24,12,197,1,768,128,8,1,[24; 12; 197; 1; 768; 128; 8; 1],0.011610698871663772,0.5956909784567926,tvm
64,32,197,1,768,128,8,1,[64; 32; 197; 1; 768; 128; 8; 1],0.020824844497838058,0.3321219792131749,tvm
48,12,197,1,768,128,8,1,[48; 12; 197; 1; 768; 128; 8; 1],0.021220067865215242,0.32593621355783614,tvm
24,24,197,1,768,128,8,1,[24; 24; 197; 1; 768; 128; 8; 1],0.01030154825275531,0.6713931150668225,tvm
16,16,197,1,768,192,12,1,[16; 16; 197; 1; 768; 192; 12; 1],0.01564883449464105,0.4419746770148979,tvm
16,8,197,1,768,192,12,1,[16; 8; 197; 1; 768; 192; 12; 1],0.011584973683056887,0.5970137490725458,tvm
24,3,197,1,768,128,8,1,[24; 3; 197; 1; 768; 128; 8; 1],0.011012618000677321,0.6280421758934328,tvm
12,12,197,1,768,192,12,0,[12; 12; 197; 1; 768; 192; 12; 0],0.015935086630634032,0.43403520368269116,tvm
48,48,197,1,384,128,8,1,[48; 48; 197; 1; 384; 128; 8; 1],0.015612200877512805,0.443011758924436,tvm
32,16,197,1,384,128,8,1,[32; 16; 197; 1; 384; 128; 8; 1],0.012442269187886268,0.5558783905882966,tvm
24,8,197,1,384,128,8,1,[24; 8; 197; 1; 384; 128; 8; 1],0.01145037381502334,0.6040316834332515,tvm
64,8,197,1,384,128,8,1,[64; 8; 197; 1; 384; 128; 8; 1],0.020694349252153188,0.3342162871204534,tvm
16,8,197,1,384,192,12,1,[16; 8; 197; 1; 384; 192; 12; 1],0.011611304689722601,0.5956598983704566,tvm
48,48,197,1,768,128,8,0,[48; 48; 197; 1; 768; 128; 8; 0],0.015498822991503403,0.44625250415597356,tvm
48,16,197,1,768,128,8,0,[48; 16; 197; 1; 768; 128; 8; 0],0.021245613883365877,0.3255443033747175,tvm
64,32,197,1,768,128,8,0,[64; 32; 197; 1; 768; 128; 8; 0],0.02090104737726506,0.330911099649093,tvm
64,16,197,1,768,128,8,0,[64; 16; 197; 1; 768; 128; 8; 0],0.0208087715000147,0.33237851506148186,tvm
32,16,197,1,768,128,8,0,[32; 16; 197; 1; 768; 128; 8; 0],0.01446301674877759,0.47821202806898094,tvm
48,6,197,1,768,128,8,1,[48; 6; 197; 1; 768; 128; 8; 1],0.02126387137104757,0.3252647860184941,tvm
32,8,197,1,768,128,8,0,[32; 8; 197; 1; 768; 128; 8; 0],0.014253371380618773,0.48524579811575175,tvm
24,4,197,1,768,128,8,1,[24; 4; 197; 1; 768; 128; 8; 1],0.011069312873587478,0.6248254657189958,tvm
8,4,197,1,384,192,12,0,[8; 4; 197; 1; 384; 192; 12; 0],0.012357846819213592,0.5596758620340874,tvm
24,24,197,1,384,128,8,0,[24; 24; 197; 1; 384; 128; 8; 0],0.01045488868112443,0.6615458836893813,tvm
48,48,197,1,384,128,8,0,[48; 48; 197; 1; 384; 128; 8; 0],0.010215358750429004,0.6770578244389225,tvm
48,12,197,1,384,128,8,0,[48; 12; 197; 1; 384; 128; 8; 0],0.021514245367143303,0.32147948735358967,tvm
64,4,197,1,768,128,8,0,[64; 4; 197; 1; 768; 128; 8; 0],0.02090357600536663,0.330871070560028,tvm
24,3,197,1,384,128,8,0,[24; 3; 197; 1; 384; 128; 8; 0],0.011537370875885244,0.5994770078757555,tvm
24,6,197,1,384,128,8,0,[24; 6; 197; 1; 384; 128; 8; 0],0.011501548811793327,0.6013441045728314,tvm
48,6,197,1,384,128,8,0,[48; 6; 197; 1; 384; 128; 8; 0],0.021563974252785556,0.3207381204573242,tvm
24,8,197,1,768,192,12,0,[24; 8; 197; 1; 768; 192; 12; 0],0.010191383378696628,0.6786506124267798,tvm
32,16,197,1,384,192,12,0,[32; 16; 197; 1; 384; 192; 12; 0],0.014083698741160333,0.4910917720225774,tvm
24,4,197,1,384,192,12,1,[24; 4; 197; 1; 384; 192; 12; 1],0.01069570043910062,0.6466512979499786,tvm
24,6,197,1,384,192,12,0,[24; 6; 197; 1; 384; 192; 12; 0],0.010859222937142476,0.6369137655118965,tvm
24,1,1,1,128,128,8,0,[24; 1; 1; 1; 128; 128; 8; 0],0.012511990760685876,0.5527808247078206,tvm
24,1,1,1,256,128,8,0,[24; 1; 1; 1; 256; 128; 8; 0],0.011428892001276836,0.6051670249973377,tvm
16,8,1,1,768,128,8,0,[16; 8; 1; 1; 768; 128; 8; 0],0.02313223187229596,0.2989935692159433,tvm
24,1,1,1,768,128,8,0,[24; 1; 1; 1; 768; 128; 8; 0],0.02169022150337696,0.3188712743367676,tvm
24,1,1,1,384,128,8,1,[24; 1; 1; 1; 384; 128; 8; 1],0.018653669380000792,0.37077898350894206,tvm
16,8,1,1,192,192,12,0,[16; 8; 1; 1; 192; 192; 12; 0],0.011670849562506191,0.5926208314472824,tvm
16,4,197,1,96,96,6,0,[16; 4; 197; 1; 96; 96; 6; 0],0.014602590250433423,0.4736412138403517,tvm
16,4,197,1,192,96,6,0,[16; 4; 197; 1; 192; 96; 6; 0],0.01169829487480456,0.5912304866177449,tvm
